State,County,latitude,longitude,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,Date Local
Pennsylvania,Montgomery,40.112222,-75.309167,27.11400159,38.49214273,10.05070607,2.388191258,2020/6/1
Pennsylvania,Northampton,40.628056,-75.341111,21.49383199,37.57630734,13.90902888,6.199068306,2020/6/1
Pennsylvania,Philadelphia,40.01187211,-75.08461068,22.16822177,25.89011499,0.497634555,7.080645161,2020/6/1
Pennsylvania,Washington,40.146667,-79.902222,15.79596062,32.74694492,6.486521344,5.040254839,2020/6/1
Pennsylvania,Westmoreland,40.304694,-79.505667,17.65455639,36.18706943,25.4653446,0.274290268,2020/6/1
Pennsylvania,York,39.965278,-76.699444,20.11413906,27.625,0,2.142262978,2020/6/1
Rhode Island,Providence,41.841039,-71.36097,17.35183329,36.40162184,0.206540442,3.562667641,2020/6/1
South Carolina,Charleston,32.941023,-79.657187,5.730769231,39.34551294,3.460451802,1.987806033,2020/6/1
South Carolina,Richland,34.093959,-80.962304,18.87121212,37.21464646,0.449494949,2.51262626,2020/6/1
South Dakota,Minnehaha,43.54792,-96.700769,14.23203572,36.83214076,0.209494237,2.511433873,2020/6/1
South Dakota,Union,42.751518,-96.707208,5.519219691,24.35056554,0.518953023,1.654792956,2020/6/1
Tennessee,Blount,35.62164844,-83.8801635,1.172413793,39.90333743,0.008001043,1.883645776,2020/6/1
Texas,Bexar,29.44125313,-98.44188628,14.39081826,33.46133749,0.241935484,5.405554206,2020/6/1
Texas,Dallas,32.84057277,-96.82800866,17.30206356,31.52465183,0.337435684,3.039465955,2020/6/1
Texas,El Paso,31.787432,-106.4427263,30.26690101,40.00978832,1.527230616,6.731182796,2020/6/1
Texas,Harris,29.73137051,-95.31537279,18.03212372,32.17685161,0,5.172703933,2020/6/1
Texas,McLennan,31.653086,-97.070704,5.222830224,33.12939977,0.791306099,1.8718372,2020/6/1
Texas,Travis,30.354148,-97.7259575,15.36408649,35.59691905,0.083730725,5.925925926,2020/6/1
Utah,Salt Lake,40.74347549,-111.9094404,22.09483309,59.19293222,0.702492629,1.077777778,2020/6/1
